Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Труба металлическая 530,5000,https://www.avito.ru/syktyvkar/remont_i_stroitelstvo/truba_metallicheskaya_530_3368398447,"Труба металлическая, диаметр 530 мм., длина 470 мм., толщина стенки 8 мм.",22,сегодня в 01:39,Частное лицо,"Республика Коми, Сыктывкар"
"325,280 трубы под дорогу",1800,https://www.avito.ru/verhnee_dubrovo/remont_i_stroitelstvo/325280_truby_pod_dorogu_2949465089,"Труба под дорогу, канавы, въезды, надёжная, железная, резка в размер. Доставка манипулятор в день заказа, расчет на месте.",1194,сегодня в 01:32,Частное лицо,"Свердловская область, Белоярский г.о., с. Косулино"
Трубы б.у 630 530 426 159 219 325 377 273,60,https://www.avito.ru/schelkovo/remont_i_stroitelstvo/truby_b.u_630_530_426_159_219_325_377_273_2552381468,Трубы 159 219 273 325 377 430мм. Толщина 6 7 8 9 10мм. Размеры и количество уточняйте. Цена от 60р 1кг. Резка доставка имеются.,415,сегодня в 00:54,Частное лицо,"Московская область, Щёлково"
Труба нержавеющая бесшовная толстостенная,325,https://www.avito.ru/dmitrov/remont_i_stroitelstvo/truba_nerzhaveyuschaya_besshovnaya_tolstostennaya_2921071992,"Труба: лежалая. Бесшовная 89ммх7мм, длина 4350мм — в наличии 1шт. Вес трубы 62кг. Цена за одну трубу 20000руб (325т. Р за тонну). Оплата наличными или на сбер. Карту.",573,вчера в 23:04,Частное лицо,"Московская область, Дмитровский г.о., Дмитров"
Труба металлическая 325х8 длиной 8м,36000,https://www.avito.ru/hanty-mansiysk/remont_i_stroitelstvo/truba_metallicheskaya_325h8_dlinoy_8m_3430952511,"Продам трубу металическую 325х8 длиной 8м, 2шт. Самовывоз. 1600рублей за метр.",1,вчера в 22:43,Частное лицо,"Тюменская область, Ханты-Мансийск"
Труба,3000,https://www.avito.ru/orel/remont_i_stroitelstvo/truba_2983008999,Диаметр 325. Труба не использовалась. 8м в наличии. Цена за метр.,1556,вчера в 22:17,Частное лицо,"Орловская область, Орловский муниципальный округ, пос. Куликовский"
"Труба 89, 108, 159",45,https://www.avito.ru/angarsk/remont_i_stroitelstvo/truba_89_108_159_2355217582,"Продам трубу 57, 89, 108, 114, 133, 159, 219, 273, 325, 377, 426, 530, 630, 720, 1020. Длина труб от 2 до 11,5 метров. Состояние идеальное. Так же в наличии есть прокат: уголок, швеллер, балка. Уважаемые клиенты. Цена трубы очень сильно зависит от ее состояния, диаметра, капризов рынка и здоровья президента Америки))) прошу отнестись с пониманием к этому.",14604,вчера в 21:59,Частное лицо,"Иркутская область, Ангарский г.о., Ангарск"
Труба 530; 630,50,https://www.avito.ru/angarsk/remont_i_stroitelstvo/truba_530_630_2995272526,"Продам трубу б/у 530*9. 630*9-10 Состояние на фото. Живая. Нарежем в размер и доставка есть, если надо. Так же есть и другие диаметры.",861,вчера в 21:58,Частное лицо,"Иркутская область, Ангарский г.о., Ангарск"
Труба б/у 1020х10-11,33000,https://www.avito.ru/samara/remont_i_stroitelstvo/truba_bu_1020h10-11_1876708573,Продаю б/у 1020х10-11 сш газ отличного качества длинная 33000 руб/тн нал Самара 150тн.,693,сегодня в 00:18,Частное лицо,"Самарская область, Самара"
"Труба 1220, отличное состояние, за тонну",39500,https://www.avito.ru/perm/remont_i_stroitelstvo/truba_1220_otlichnoe_sostoyanie_za_tonnu_679705953,"Труба 1220х10. Труба 1220х12. Труба 1220х14. Труба 1220х15. Из под газа, Длина 11-11,5 м. Цена от 43 500 руб/тн. Со склада в Перми. Под заказ от 12 тонн, на ваш склад. По цене от 39 500 руб/тн. Также, трубы лежалые: труба 1220х12. Труба 1220х14. Не использовались -2016 года, цена от 99 000 р/тн. Есть Резка металлопроката. Удобно и выгодно! Не надо платить. За лишние обрезки! В короткие сроки. Подготовим отрезок (отрезки). Необходимой длины. Отрежем Столько, Сколько Нужно. Большой выбор Стальных Труб. Бывших в употреблении. В наличии все основные диаметры. Наличный, безналичный расчёт (с Ндс). Резка, доставка, минимум очередей, погрузка кран-балкой. На связи всегда, склад работает с 8-00 до 17-00. (в выходные по договорённости). Находимся в микрорайоне-. Липовая Гора.",1521,сегодня в 05:58,Частное лицо,"Пермский край, Пермь"
Трубы,0,https://www.avito.ru/bratsk/remont_i_stroitelstvo/truby_2543903947,"Продам трубы 630х0,8 по 6 метров, есть куски на печку.",328,сегодня в 05:00,Частное лицо,"Иркутская область, Братск"
Продам трубы 720,38,https://www.avito.ru/belovo/remont_i_stroitelstvo/prodam_truby_720_2602159910,Продам трубы 720. Толщина 8-10мм. 2 шт по 11.5 метров. Наличны и безналичный расчет!,239,сегодня в 04:52,Частное лицо,"Кемеровская область, Беловский г.о., Белово"
"Трубы лежалые, восстановленные и б/у",45000,https://www.avito.ru/kazan/remont_i_stroitelstvo/truby_lezhalye_vosstanovlennye_i_bu_2125343982,"Продаю трубы б/у, восстановленные. Лежалые 1020*11 прямошовная 65000 с ндс, 127*4,5мм 6 метровые, 159*4,5мм 6 метровые, 219*6мм оцинкованная 6 метровые, 325*8 34 метра, 325*10 восст 42 метра, 426-11метров, 530*8 б/у, 630*8 б/у по 4 метра, 720*9 с заглушками на понтон.",2512,сегодня в 06:26,Частное лицо,"Татарстан, Казань"
Трубы для заезда б.у,55,https://www.avito.ru/schelkovo/remont_i_stroitelstvo/truby_dlya_zaezda_b.u_2488346627,Трубы для заезда в канаву. Диаметр 159 219 270 325 350 377 426 530 630 720 820 920 1020 1120 1220. Толщина от 6мм. Цена от 55₽ 1кг.,2454,сегодня в 06:57,Частное лицо,"Московская область, Щёлково"
Труба бу 530,30000,https://www.avito.ru/tuchkovo/remont_i_stroitelstvo/truba_bu_530_2609568800,"30.000 за всю трубу. Вес выходит 1030кг. Труба 530 бу. Для печей печки. Металлопрокат, труба для водостока, труба под дорогу, труба для печи. Самовывоз самовынос саморезка.",158,сегодня в 06:56,Частное лицо,"Московская область, Рузский г.о., рабочий пос. Тучково"
Труба для заезда в канаву,55,https://www.avito.ru/schelkovo/remont_i_stroitelstvo/truba_dlya_zaezda_v_kanavu_2456234551,Трубы разного диаметра. Длинна от 1м до 12м. Диаметр 219 373 325 426 530 630мм 720 820 920 1020 1220. Толщина 6мм 7мм 8мм 9мм 10мм 11мм 12мм 14мм 16мм. Цена от 55р кг. От 2000₽ метр. Есть резка и доставка.,708,сегодня в 07:03,Частное лицо,"Московская область, Щёлково"
Труба 820 металл,50,https://www.avito.ru/beloretsk/remont_i_stroitelstvo/truba_820_metall_1553714053,"Продам трубу820(10мм)-10200р. П. Для печки, переправа и т. Д. Также что на фото.",2857,сегодня в 07:43,Частное лицо,"Республика Башкортостан, Белорецкий р-н, городское поселение Белорецк, Белорецк"
Труба бу 530,49000,https://www.avito.ru/kazan/remont_i_stroitelstvo/truba_bu_530_3404927087,"Продам трубу с демонтажа напрямую без переплаты. Трубы бу ПШ длина 10-11,8м. П. D 530. В наличии стенки: 7мм. 7-8мм. 8мм. 9мм. Отгрузка Пермь, Цена указана с ндс. Доставка по всей России. Детали уточняйте по телефону, Снабженцам предусмотрены скидки.",30,сегодня в 07:51,Частное лицо,"Республика Татарстан, Казань"
Металлопрокат Арматура Трубы Уголки Листы,10000,https://www.avito.ru/rubtsovsk/remont_i_stroitelstvo/metalloprokat_armatura_truby_ugolki_listy_3628519206,"Деньги Сразу. Выкуп В День Обращения. Вывезем Сами ЗА Свой Счет. Звоните Или Пишите, Предложим Лучшую Цену! Для Вас: - Честная цена. - Цену устанавливаем с учетом вашего интереса. - Оплата любым удобным способом. - выкуп в Любом состоянии. Выкуплю У Вас. - погнутое. - ржавое. - новое. - старое. - списанно. - остатки на складе. Звоните! С удовольствием ответим на все Ваши вопросы! В продаже Размер: 169,8 *201,2 *101,6 Место на складе: p-3254 Уникальный номер: i-8905 Вид товара: v-6514.",2,сегодня в 08:07,Частное лицо,"Алтайский край, Рубцовск"
Труба 530х8 под печи,4100,https://www.avito.ru/sterlitamak/remont_i_stroitelstvo/truba_530h8_pod_pechi_3608487392,Труба из под пара. Продажа от 5 метров.,0,сегодня в 11:04,Частное лицо,"Республика Башкортостан, Стерлитамак"
Труба металлическая 426,4500,https://www.avito.ru/lysva/remont_i_stroitelstvo/truba_metallicheskaya_426_3403504637,"Продам трубу 426×10 для печки, размер 850 длина 4500тыс.",0,сегодня в 10:52,Частное лицо,"Пермский край, Лысьвенский г.о., Лысьва"
Труба металлическая бу 630ммХ8м,15000,https://www.avito.ru/maloe_verevo/remont_i_stroitelstvo/truba_metallicheskaya_bu_630mmh8m_3635624019,Трубы б/у 630*5 м. Самовывоз с указанного адреса.,0,сегодня в 11:57,Частное лицо,"Ленинградская область, Гатчинский р-н, Веревское сельское поселение, д. Малое Верево"
